                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.34986,                0.63448,                  0.264,                 0.8517,                0.89542,                0.85866,                0.91429,                0.80753,                0.90141,                0.86632,                 0.9178,                0.67659,                0.53398,                0.83845,                0.53044,                 1.0009,              0.0033303,              0.0033303,              0.0033303
                      2,                0.38713,                0.67387,                0.29892,                0.86589,                0.87922,                0.85549,                 0.9062,                0.78311,                0.88631,                0.86274,                0.90759,                0.63991,                    inf,                0.87179,                0.53938,                 1.0144,              0.0066417,              0.0066417,              0.0066417
                      3,                0.45573,                0.75554,                0.37644,                0.89375,                0.84625,                0.82729,                0.89366,                0.74833,                0.84674,                0.83856,                0.89252,                0.61061,                0.62943,                0.90683,                0.61798,                 1.0202,               0.009931,               0.009931,               0.009931
                      4,                 0.5417,                0.85757,                0.48378,                0.93737,                0.81687,                0.81527,                0.87537,                0.71342,                0.82171,                0.82082,                0.87545,                   0.58,                0.68892,                0.98094,                0.66329,                 1.0493,               0.009901,               0.009901,               0.009901
                      5,                0.55764,                  0.874,                0.50562,                0.94543,                 0.8406,                0.81322,                0.89139,                0.73932,                0.84858,                0.81536,                0.89115,                0.59656,                0.63185,                0.90695,                0.60443,                 1.0095,               0.009868,               0.009868,               0.009868
                      6,                0.56349,                0.88007,                0.51437,                0.94957,                0.85019,                0.81702,                0.89927,                0.75289,                0.85407,                0.82204,                0.89792,                0.61572,                0.63091,                0.89813,                0.59729,                 1.0105,               0.009835,               0.009835,               0.009835
                      7,                0.56993,                0.88305,                0.51426,                0.95238,                0.85048,                0.82826,                0.89795,                0.75634,                0.85642,                0.83449,                0.89815,                0.61669,                0.61073,                0.89903,                0.59261,                 1.0083,               0.009802,               0.009802,               0.009802
                      8,                0.56768,                0.87964,                0.51555,                0.95264,                0.84387,                0.82468,                0.89373,                 0.7441,                0.84814,                0.83089,                0.89256,                0.60577,                0.63558,                0.89218,                0.61747,                 1.0107,               0.009769,               0.009769,               0.009769
                      9,                0.56468,                0.87623,                0.50562,                0.95133,                0.83525,                0.82563,                0.89936,                0.75501,                0.84267,                0.82862,                0.89942,                0.62201,                0.62551,                0.87903,                0.60336,                 1.0003,               0.009736,               0.009736,               0.009736
                     10,                0.56485,                0.87612,                0.50949,                 0.9492,                0.84271,                 0.8139,                0.89064,                0.74035,                0.84668,                0.81965,                0.88952,                0.60424,                0.64679,                 0.9339,                 0.6366,                 1.0372,               0.009703,               0.009703,               0.009703
                     11,                0.56212,                0.88064,                0.50582,                0.94756,                0.85684,                0.82313,                0.90248,                0.75649,                 0.8607,                 0.8295,                0.90274,                0.60981,                0.62356,                0.90724,                0.57341,                 1.0041,                0.00967,                0.00967,                0.00967
                     12,                0.55984,                0.86837,                0.50027,                 0.9474,                0.85667,                0.83667,                0.91101,                0.77079,                0.86345,                0.84273,                0.91221,                0.63034,                0.61102,                0.87381,                0.56372,                0.99244,               0.009637,               0.009637,               0.009637
                     13,                0.56134,                0.86502,                0.49965,                0.94777,                0.85265,                0.81934,                0.90034,                0.75912,                0.85817,                0.82822,                0.90084,                0.62201,                0.60665,                0.87757,                 0.5926,                 1.0064,               0.009604,               0.009604,               0.009604
                     14,                0.56047,                0.86157,                0.49292,                0.94666,                0.85826,                 0.8326,                0.90921,                0.76877,                0.86302,                0.84064,                0.90891,                0.63064,                0.60009,                0.86157,                0.56584,                0.98543,               0.009571,               0.009571,               0.009571
                     15,                0.55258,                0.85309,                0.48944,                0.94302,                0.84818,                0.83535,                0.90271,                0.76639,                0.85527,                0.84234,                0.90378,                0.62919,                0.59208,                0.85815,                0.56825,                0.99836,               0.009538,               0.009538,               0.009538
                     16,                0.55557,                0.86065,                0.49177,                0.94471,                0.85163,                 0.8408,                0.91016,                0.77696,                0.85815,                0.84645,                0.91094,                0.64168,                0.57699,                0.83822,                0.56131,                0.98371,               0.009505,               0.009505,               0.009505
                     17,                0.55109,                0.85222,                0.48341,                0.94244,                0.86331,                0.83708,                0.91253,                0.78096,                 0.8684,                0.84427,                0.91343,                0.64689,                0.57535,                0.85791,                0.55266,                0.98605,               0.009472,               0.009472,               0.009472
                     18,                0.54879,                0.85099,                0.48319,                0.93861,                0.86601,                0.83671,                0.90954,                0.77217,                0.87248,                0.84412,                0.90953,                0.64228,                0.58905,                0.84645,                0.56474,                0.99488,               0.009439,               0.009439,               0.009439
                     19,                0.54409,                0.84148,                0.47543,                0.94007,                0.86915,                0.83697,                0.91332,                0.78258,                0.87164,                 0.8455,                0.91214,                0.64298,                0.57346,                0.84632,                0.55479,                 0.9831,               0.009406,               0.009406,               0.009406
