                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.563,                 2.1709,                 2.6279,                 1.2375,                0.31048,                0.41884,                 0.3305,                0.21238,                0.28457,                0.37217,                 0.2894,                0.11929,                 1.5394,                 1.7942,                  1.787,                 1.2468,              0.0006627,              0.0006627,              0.0006627
                      2,                 1.6786,                 2.4036,                 1.6292,                 1.2647,                0.19351,                0.24035,                 0.1264,                0.06962,                0.14692,                0.19027,                0.09027,                0.03415,                 1.8366,                  2.302,                 2.5816,                 1.4015,               0.001325,               0.001325,               0.001325
                      3,                 1.8875,                 2.6212,                 1.7203,                 1.3542,                0.45173,                0.33492,                0.34997,                0.19113,                 0.2702,                0.18856,                0.14717,                0.04322,                 1.9951,                 3.0518,                 1.9364,                 1.5973,              0.0019829,              0.0019829,              0.0019829
                      4,                 1.9352,                 2.3439,                  2.049,                 1.3819,                0.38047,                0.34176,                0.30248,                0.15711,                0.36024,                0.30814,                0.26774,                0.10033,                 1.9318,                 2.3883,                 1.8454,                 1.4589,              0.0019802,              0.0019802,              0.0019802
                      5,                 1.8392,                 2.4348,                 1.8359,                 1.3318,                0.10493,                0.14959,                0.06043,                0.03529,                 0.0832,                0.11861,                0.04656,                0.01635,                 1.9697,                 2.5233,                 6.3478,                 1.4887,              0.0019802,              0.0019802,              0.0019802
                      6,                 1.9115,                 2.1736,                 1.8526,                 1.3524,                0.47234,                0.37797,                0.38343,                0.22091,                0.44055,                0.33102,                 0.3311,                0.12248,                  1.795,                 2.1335,                 1.7249,                 1.3554,              0.0019736,              0.0019736,              0.0019736
                      7,                 1.7539,                 2.0403,                 1.6712,                 1.3095,                0.47521,                0.38676,                0.38978,                0.23953,                0.44589,                0.34246,                0.34288,                0.13218,                 1.6841,                 2.0822,                 1.6802,                 1.3079,               0.001967,               0.001967,               0.001967
                      8,                  1.662,                 1.9389,                 1.5375,                 1.2651,                0.46619,                0.40886,                0.40484,                0.24636,                0.40542,                0.32703,                0.32272,                0.11184,                 1.6901,                 2.0027,                 1.5134,                 1.3027,              0.0019604,              0.0019604,              0.0019604
                      9,                 1.5999,                 1.8345,                 1.4096,                 1.2363,                0.53174,                0.44649,                0.46766,                0.29146,                0.50323,                0.40089,                0.41941,                0.16877,                  1.596,                 1.8384,                 1.3728,                 1.2765,              0.0019538,              0.0019538,              0.0019538
                     10,                 1.5457,                 1.8023,                 1.3211,                 1.2116,                0.53411,                0.46012,                0.47433,                 0.3016,                0.49299,                0.39251,                0.39692,                0.14771,                 1.4992,                  1.832,                 1.3728,                  1.221,              0.0019472,              0.0019472,              0.0019472
